	members	nearby_genes	emb_variable_x	emb_variable_y	manual_annotation	contained_string_cluster_ids	contained_string_clusters	contained_corum_complexes	nearby_corum_complexes	nearby_string_clusters	strong_positive_gene_expr_clusters	strong_negative_gene_expr_clusters	best_description	example_genes	Notes
48	DMAP1,EP400,ESYT2,KIF20A,MAX,TELO2,BRD8,TRRAP,TTI1	ACTL6A,DMAP1,EP400,EPC2,ESYT2,GNB1L,HNRNPC,KIF20A,MAX,MEAF6,PAICS,RARA,SF1,TELO2,BRD8,TRRAP,TTI1,TTI2	-0.40937474	-1.7781701	NuA4 histone acetyltransferase complex and TTT complex				TRRAP-BAF53-HAT complex		15_erythroid differentiation		NuA4 histone acetyltransferase complex and TTT complex	ACTL6A,TRRAP,EP400,TTI1,TTI2,TELO2	
49	GAB2,INPPL1,PTPN11,SHC1,BCR	ZNF219,DDX39B,EMC3,EMC7,FLII,FOXS1,GAB2,INPPL1,MAPK1,MCM3AP,NOMO3,NRF1,NXT1,PPP2CA,PPP2R1A,PTEN,PTPN11,RNPS1,RSRC2,SHC1,SHOC2,SOX1,TPR,TWSG1	-0.6908991	-1.1012288	BCR-ABL signaling				CPSF6-ITCH-NUDT21-POLR2A complex;CPSF6-NUDT21 complex;Pigr-Vps35-Vps26a-Vps29 complex;STRIPAK complex;Vps29-Vps35-Vps26a complex		16_erythroid differentiation;15_erythroid differentiation		BCR-ABL signaling	BCR,GAB2,PTPN11,SHC1,INPPL1	
50	DONSON,GINS1,GINS2,GINS4,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MMS22L,ORC5,POLD1,POLD2,POLD3,RAD51,RFC2,RFC4,RFC5	MTRES1,CDC7,CDK2,ADSS,DBF4,DCAF7,DDX59,DONSON,DTYMK,DUT,DYNLL1,ALAD,GINS1,GINS2,GINS3,GINS4,MCM10,MCM2,MCM3,MCM5,MCM6,MCM7,MMS22L,MTBP,NFYC,ORC1,ORC4,ORC6,PDIA6,PDLIM4,POLA2,POLD1,POLD2,POLD3,POLE2,PPP1R8,PRIM2,RAD51C,RAD51,RBBP8,RFC2,RFC3,RFC4,RFC5,RPA2,SLC2A11,SMARCA5,SOCS3,SRSF10,SS18L2,TICRR,TIMELESS,TIPIN,TONSL,TXN,USP37,VPS39,WDHD1	-1.5781891	-2.6418047	DNA replication	CL:5547;CL:5602	Unwinding of DNA;DNA replication factor C complex	CHTF18-RFC2-5 complex;DNA polymerase delta complex;GINS complex;MCM complex;MCM2-MCM4-MCM6-MCM7 complex;RAD17-RFC complex;RFC complex;RFC core complex;RFC2-5 subcomplex	CDC7-DBF7 complex;CDK2-CCNE1 complex;MCM4-MCM6-MCM7 complex	Unwinding of DNA, and Mini-chromosome maintenance replisome factor;MCM N-terminal domain	15_erythroid differentiation		DNA replication		
51	RAMAC,NCBP1,NCBP2,RNMT	ZC3H18,CCNK,CCNK,CDK12,CLDN15,AHCY,RAMAC,GRB2,NCBP1,NCBP2,PPP1CC,RAB2B,RNMT,RPRD1B,TIA1,TOX4	5.4478674	-0.57169235	mRNA capping			CBC complex (cap binding complex)	PHAX-CBC complex (cap binding complex)			8_translation;7_translation	mRNA capping		
52	ZDHHC7,ADAM10,EPS8L1,FAM136A,POGLUT3,MED10,MED11,MED12,MED14,MED17,MED18,MED19,MED1,MED20,MED21,MED22,MED28,MED29,MED30,MED6,MED7,MED8,MED9,SUPT6H,BRIX1,TMX2	ZDHHC7,ZNF518A,ADAM10,CCNC,CDAN1,CLK3,CREB3L3,DDX6,DOHH,E2F1,ECI2,EHMT1,EHMT2,EPS8L1,FAM102B,FAM136A,GLMN,HAUS1,HNRNPH1,HYPK,POGLUT3,MAPRE3,MED10,MED11,MED12,MED13L,MED14,MED15,MED16,MED17,MED18,MED19,MED1,MED20,MED21,MED22,MED28,MED29,MED30,MED4,MED6,MED7,MED8,MED9,MLLT1,MNT,MTMR1,NAA15,NACA,NFKBIE,NR2E1,NSD1,PAPOLA,PPP4C,PPP4R2,PRPF39,RASSF1,RBM33,RNGTT,RPL29,SENP5,SLC35A4,SRSF1,SUPT5H,TMX2,BTAF1,TRIM24,SPINDOC,WIZ	2.6823568	-2.3168707	Mediator complex	CL:6143;CL:6147;CL:6167	mediator complex;Mediator complex, subunit Med7/Med21-like, and Med6 core domain superfamily;core mediator complex, and Mediator complex protein 	MED18-MED20-MED29 mediator subcomplex;TRAP-SMCC mediator complex	ARC complex;ARC-L complex;ARC92-Mediator complex;BRD4 complex;CDK8 subcomplex (CCNC, CDK8, MED12, MED13);CRSP complex;CRSP-Mediator 2 complex;Cohesin-SA1 complex;Cohesin-SA2 complex;DDX11-RAD21-SMC1A-SMC3 complex;DRIP complex;ESR1-TRAP/Mediator coactivator-complex;ESR2-TRAP/Mediator coactivator complex;Mediator complex;Microprocessor complex;PC2 complex;Protein phosphatase 4 complex;SMC1-SMC3 complex;SMCC complex;Smcb-Smcd-PW29 complex;TRAP complex	Cohesin Loading onto Chromatin;mediator complex;mediator complex;mediator complex;mediator complex;mixed, incl. Mediator complex subunit 29, and Mediator complex subunit 27	25_;26_;17_;10_;11_;16_erythroid differentiation;20_;14_oxidative phosphorylation	31_growth/targets of Myc	Mediator complex		
53	C1QBP,CCNH,ERCC2,ERCC3,GPN1,GPN3,GTF2E1,GTF2E2,GTF2H1,GTF2H4,MNAT1,NUMA1,PDRG1,PFDN2,POLR2B,POLR2F,POLR2G,RPAP1,RPAP2,RPAP3,TANGO6,TMEM161B,UXT	C1QBP,CCNH,CTDP1,EXOC7,GPN1,GPN2,GPN3,GTF2E1,GTF2E2,GTF2F2,GTF2H1,MED26,MED31,MNAT1,NUDC,NUMA1,PAK1,PDRG1,PFDN2,POLR2A,POLR2B,POLR2C,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2M,RPAP1,RPAP2,RPAP3,SNAPC5,SNRNP70,SNRPC,SPG7,TANGO6,TFAP4,TMEM106B,UBQLN4,URI1,UXT	4.2880793	-5.8559685	TFIIH/nucleotide excision repair	CL:4497	transcription factor TFIIH core complex	CAK-ERCC2 complex;TFIIE complex;TFIIH transcription factor complex	RNA polymerase II holoenzyme complex;RPAP1-RPB2-RPB3 complex;TFIIH transcription factor core complex	transcription factor TFIIH core complex;GPN-loop GTPase, and RecQ helicase-like 5	9_;11_		TFIIH/nucleotide excision repair		
54	NBAS,RINT1,STX18,BNIP1,USE1	ZW10,CAMLG,CDIPT,CEP350,COG2,COG6,COG8,COPE,CSNK1A1,DDI2,DGKD,DMRTC2,EFR3A,GOLT1B,HSD17B12,ISCU,LIN54,MAD2L1,MBTPS2,NBAS,NGLY1,GET3,PEX19,RABGGTA,RABGGTB,RAC3,RBM10,RIC8A,RINT1,SACM1L,SEC22B,BET1,STT3B,STX18,BNIP1,TRAPPC11,USE1,VPS51,VPS53,GET1	-4.3655868	-1.4026103	SNARE complex	CL:8203	Dsl1/NZR complex, and Sec20		SNARE complex (RINT1, ZW10, p31, Stx18)				SNARE complex	NBAS,RINT1,STX18,BNIP1,USE1	
55	DMRTC2,HSD17B12,MAD2L1,STT3B	ZW10,CAMLG,CDIPT,CEP350,COG2,COG6,COG8,COPE,COX15,CSNK1A1,DGKD,DMRTC2,GOLT1B,HSD17B12,ISCU,MAD2L1,MBTPS2,NBAS,NGLY1,GET3,RAC3,RBM10,RIC8A,RINT1,SEC22B,BET1,STT3B,STX18,BNIP1,USE1,GET1	-4.223526	-1.048745					SNARE complex (RINT1, ZW10, p31, Stx18)	Dsl1/NZR complex, and Sec20	4_cholesterol homeostasis;12_unfolded protein response/mTORC1 signaling		unknown 12		
56	DAD1,DDOST,DHDDS,ALG2,SEC61A1,SEC61G,SRP19,SRP68,SRP72,SRP9,SRPRB	GBF1,GTF3C2,ASCC3,PGM2,RELL2,SEC61A1,SEC61G,SRP14,SRP19,SRP68,SRP72,SRP9,SRPRB	-5.797443	-1.0952662	translocon/protein glycosylation	CL:409	Signal recognition particle		DAD1-DDOST-RPN1-RPN2 complex		2_unfolded protein response		translocon/protein glycosylation	SEC61A1,SEC61G,SRP19,SRP68,SRP72,SRP9,SRPRB,DAD1,DDOST,DHDDS,ALG2	
57	ZCCHC9,ZNF236,C1orf131,ZNF84,ZNHIT6,CCDC59,AATF,CPEB1,DDX10,DDX18,DDX21,DDX47,DDX52,DHX33,DHX37,DIMT1,DKC1,DNTTIP2,ESF1,FBL,FBXL14,FCF1,GLB1,HOXA3,IMP4,IMPA2,KRI1,KRR1,LTV1,MPHOSPH10,MRM1,NAF1,NOB1,NOC4L,NOL6,NOP10,PDCD11,ABT1,PNO1,POP1,POP4,POP5,PSMG4,PWP2,RCL1,RIOK1,RIOK2,RNF31,RPP14,RPP30,RPP40,RPS10-NUDT3,RPS10,RPS11,RPS12,RPS13,RPS15A,RPS18,RPS19BP1,RPS19,RPS21,RPS23,RPS24,RPS27A,RPS27,RPS28,RPS29,RPS2,RPS3A,RPS3,RPS4X,RPS5,RPS6,RPS7,RPS9,RPSA,RRP12,RRP7A,RRP9,SDR39U1,SRFBP1,TBL3,TRMT112,TSR1,TSR2,BYSL,C12orf45,USP36,UTP11,UTP20,UTP23,UTP6,BUD23,WDR36,WDR3,WDR46,AAR2	ZCCHC9,ZNF236,ZNF84,CCNJ,ADAT3,AATF,CPEB1,DCAF13,DDX10,DDX52,UTP25,DIMT1,ESF1,FCF1,GLB1,AP2A1,IMP4,IMPA2,KRI1,KRR1,LAMB1,MCEE,MRM1,NAF1,NDUFAF5,NOC4L,NOL10,NOP14,NOP58,PNO1,POP4,POP5,PSMG4,PWP2,RCL1,RIOK1,RIOK2,RPP30,RPP38,RPP40,RPRD2,RPS10-NUDT3,RPS10,RPS14,RPS19BP1,RPS27,RPS28,RRP12,RRP36,RRP7A,SSX2IP,TMEM41B,TRMT112,TSR1,BYSL,ATP5MD,UTP20,UTP23,UTP6,BUD23,WDR36,WDR3,WDR46,AAR2	7.406742	0.6937442	40S ribosomal subunit, cytoplasmic	CL:791;CL:983	Pwp2p-containing subcomplex of 90S preribosome;preribosome, small subunit precursor	40S ribosomal subunit, cytoplasmic	H/ACA ribonucleoprotein complex;Rnase/Mrp complex	ribonuclease P RNA binding;cytosolic small ribosomal subunit, and Ribosomal_L31e;box H/ACA scaRNP complex;rRNA modification in the nucleus and cytosol, and NUC153 domain;small-subunit processome, and positive regulation of rRNA processing;small-subunit processome, and rRNA modification in the nucleus and cytosol;small-subunit processome, and positive regulation of rRNA processing;small-subunit processome, and positive regulation of rRNA processing;small-subunit processome, and positive regulation of rRNA processing;small-subunit processome;small-subunit processome;box C/D snoRNP complex, and positive regulation of rRNA processing;mixed, incl. NOL6/Upt22, and Orofacial cleft 15;Noc4p-Nop14p complex, and Krr1, KH1 domain;mixed, incl. ABT1/Esf2, and Cataract 36;mixed, incl. DBP10, C-terminal, and Probable RNA-binding protein 19, RNA recognition motif 3	35_;37_;34_ribosome biogenesis;30_growth signaling;36_;29_;28_;18_proteasome genes	8_translation;7_translation;6_translation	40S ribosomal subunit, cytoplasmic		
58	AARS2,DHX30,GFM1,HMGB3,MALSU1,MRPL10,MRPL11,MRPL13,MRPL14,MRPL16,MRPL17,MRPL18,MRPL19,MRPL22,MRPL23,MRPL24,MRPL27,MRPL2,MRPL33,MRPL35,MRPL36,MRPL37,MRPL38,MRPL39,MRPL3,MRPL41,MRPL42,MRPL43,MRPL44,MRPL4,MRPL50,MRPL51,MRPL53,MRPL55,MRPL9,MRPS18A,MRPS30,NARS2,PTCD1,RPUSD4,TARS2,VARS2,YARS2	ZNF559,AARS2,ADNP,ADO,DHX30,DSTYK,FAM118B,FDX2,GFM1,GRSF1,HMGB3,MRPL58,ITPK1,LARS2,MALSU1,MARS2,MIPEP,MRPL10,MRPL11,MRPL13,MRPL14,MRPL15,MRPL16,MRPL17,MRPL18,MRPL19,MRPL1,MRPL20,MRPL22,MRPL23,MRPL24,MRPL27,MRPL28,MRPL2,MRPL32,MRPL33,MRPL34,MRPL35,MRPL36,MRPL37,MRPL38,MRPL39,MRPL3,MRPL41,MRPL42,MRPL43,MRPL44,MRPL4,MRPL50,MRPL51,MRPL52,MRPL53,MRPL54,MRPL55,MRPL9,MRPS18A,MRPS27,MRPS30,MTIF2,NARS2,NGRN,NSUN4,PBRM1,PGAM5,POLL,PTCD1,RMDN3,RNASEH1,RPRD1A,RPUSD4,SKA3,SLC35B2,SMARCC1,BHLHE40,SUV39H1,TARS2,TNRC6A,TSFM,TUFM,UBA6,VARS2,YARS2	-8.792405	1.9139674	39S ribosomal subunit, mitochondrial	CL:435;CL:438;CL:440;CL:442;CL:443;CL:445;CL:447;CL:478;CL:502	organellar large ribosomal subunit;organellar large ribosomal subunit;organellar large ribosomal subunit;organellar large ribosomal subunit;organellar large ribosomal subunit;organellar large ribosomal subunit;mixed, incl. Ribosomal protein L27, and Ribosomal protein L17;mixed, incl. Ribosomal protein L9, and L21-like superfamily;mixed, incl. L28p-like, and Ribosomal protein L18	39S ribosomal subunit, mitochondrial	55S ribosome, mitochondrial	Mitochondrial translation initiation;organellar large ribosomal subunit	0_mitochondrial respiratory chain		39S ribosomal subunit, mitochondrial		
59	ACSS2,CEBPG,LRPPRC,MTPAP,PNPT1,POLRMT,SSBP1,TEFM,TFAM,TOMM20	ACSS2,SMIM29,CCNL1,CEBPG,CLASRP,CLUH,CNOT4,EGR1,KIAA0586,LRPPRC,MTIF3,MTPAP,MYCN,OPA1,PNPT1,POLG2,POLG,POLRMT,PPARGC1B,SLIRP,SSBP1,STARD7,SUPV3L1,TEFM,TFAM,TIMM9,TOMM20,USP42	-3.441019	3.753294	mitochondrial transcriptional regulation						13_unfolded protein response/mTORC1 signaling;7_translation;8_translation;6_translation;12_unfolded protein response/mTORC1 signaling	0_mitochondrial respiratory chain	mitochondrial transcriptional regulation	MTPAP,PNPT1,POLRMT,TEFM,TFAM	
60	CD3EAP,HEATR1,NOL11,POLR1A,POLR1B,POLR1C,POLR1D,POLR1E,TAF1C,TAF1D,TWISTNB,UTP15,WDR75	ZNRD1,CAD,CD3EAP,DHODH,DNAJC24,DPH1,E2F8,EIF4ENIF1,MCRIP1,HEATR1,MIIP,NCL,NOL11,ATP1A1,POLR1A,POLR1B,POLR1C,POLR1D,POLR1E,RAE1,REXO2,RPLP1,BANP,SLC16A5,SMUG1,TAF1A,TAF1B,TAF1C,TAF1D,TCOF1,THUMPD1,TOP1,TTC4,TWISTNB,UBAP2L,UMPS,UTP15,WDR43,WDR75	3.4565363	2.390114	Pol I and rRNA biosynthesis				TBP-TAF complex;TIF-IB complex	RNA polymerase I complex	28_;29_;14_oxidative phosphorylation;18_proteasome genes;17_;37_;16_erythroid differentiation;36_;22_;35_;30_growth signaling	7_translation	Pol I and rRNA biosynthesis		
61	CARF,CCDC86,DDX24,DDX51,DDX56,EIF6,ABCF1,GNL2,LSG1,MAK16,MDN1,MYBBP1A,NIP7,NLE1,NOL8,NOP16,NVL,PES1,PPAN,RBM28,RPL10A,RPL10,RPL11,RPL13,RPL14,RPL17,RPL19,RPL21,RPL23A,RPL23,RPL24,RPL26,RPL27A,RPL30,RPL31,RPL32,RPL34,RPL36,RPL37A,RPL37,RPL38,RPL4,RPL5,RPL6,RPL7,RPL8,RPL9,RRS1,RSL1D1,SDAD1,BOP1,TEX10,WDR12	CARM1,CEBPZ,CENPJ,DDX24,DDX54,DDX56,EBNA1BP2,FOXRED2,GLIS1,GNL2,GNL3,GTPBP4,MAK16,MDN1,NIFK,NMD3,NOP16,NOP2,PELP1,PES1,PPAN,RBM28,RPL10A,RPL10,RPL13A,RPL13,RPL14,RPL15,RPL17,RPL18A,RPL19,RPL21,RPL23A,RPL23,RPL24,RPL26,RPL27A,RPL30,RPL31,RPL32,RPL34,RPL36,RPL37A,RPL37,RPL38,RPL4,RPL5,RPL6,RPL7L1,RPL8,RPL9,RPLP0,RRS1,RSL24D1,SDAD1,SOX3,SPAG7,STK24,BOP1,TPP2,TTF1,WDR12,WDR74	4.4349856	4.967391	60S ribosomal subunit, cytoplasmic			DDX27-PeBoW complex;PeBoW complex	60S ribosomal subunit, cytoplasmic;Parvulin-associated pre-rRNP complex;Ribosome, cytoplasmic;TRBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)	mixed, incl. PA2G4 family, and NMD3 family ;mixed, incl. BCP1 family, and NUC129 domain;Cytoplasmic ribosomal proteins;Cytoplasmic ribosomal proteins;mixed, incl. Psoriasis 13, and Ribosomal protein L5;mixed, incl. preribosome, large subunit precursor, and Brix domain;preribosome, large subunit precursor, and maturation of LSU-rRNA;preribosome, large subunit precursor, and maturation of LSU-rRNA;maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA), and preribosome, large subunit precursor;mixed, incl. PeBoW complex, and Spb1 C-terminal domain;mixed, incl. GTP-binding protein, orthogonal bundle domain superfamily, and ribosomal large subunit export from nucleus;Autosomal dominant Robinow syndrome 1, and NOG, C-terminal	29_;28_;37_;17_;14_oxidative phosphorylation;35_;18_proteasome genes;36_;30_growth signaling	0_mitochondrial respiratory chain	60S ribosomal subunit, cytoplasmic		
62	AARS,CHCHD4,DNAJA3,DNAJC19,EIF2B1,EIF2B2,EIF2B3,EIF2B4,EIF2B5,FARSA,FARSB,GFER,GRPEL1,HARS,HSPA9,HSPD1,HSPE1,IARS2,LARS,LETM1,NARS,OXA1L,PGS1,PHB2,PHB,PMPCA,PMPCB,ATP5F1A,ATP5F1B,ATP5PD,QARS,RARS,SAMM50,PRELID3B,TARS,TIMM23B,TIMM44,TOMM22,TTC1,VARS	ZCCHC8,MICOS13,CCDC84,CHCHD4,AFG3L2,DARS,DNM1L,E4F1,EIF2B1,EPRS,FAM210A,FAM83H,FARSA,FARSB,FZD5,GFER,HARS2,HARS,HSPE1,IARS2,IARS,KLHL12,ARFGEF1,LARS,LETM1,MARS,METTL1,MICOS10,OXA1L,PCYT1A,PGS1,PITRM1,PMPCA,PMPCB,ATP5F1A,ATP5F1B,ATP5F1C,ATP5F1D,ATP5PD,ATP5ME,ATP5MF,PPP1R15B,ATP5MG,ATP5PO,PRELID1,PTCD3,PTPMT1,RECQL4,CNOT9,SAMM50,SIN3B,SLC7A5,PRELID3B,TAMM41,TARS,TAZ,THG1L,TIMM13,TMEM242,TMEM259,TOMM22,TP53I13,TP53RK,TRABD,TRMT5,TRNT1,TTC1,TWNK,VARS,ATP5MPL,YARS	-4.2887993	1.9201894	mitochondrial protein translocation, tRNA synthesis, EIF2	CL:13672;CL:705	PAM complex, Tim23 associated import motor, and Tim44-like;Leukoencephalopathy with vanishing white matter	EIF2B1-EIF2B2-EIF2B3-EIF2B4-EIF2B5 complex;EIF2B2-EIF2B3-EIF2B4-EIF2B5 complex;HSPA9-GRPEL1 complex;HSPA9-GRPEL1-GRPEL2-TIMM44 complex		Anticodon-binding, and Charcot-Marie-Tooth disease type 2D;Charcot-Marie-Tooth disease type 2D, and Seryl-tRNA synthetase N-terminal domain;aminoacyl-tRNA synthetase multienzyme complex	12_unfolded protein response/mTORC1 signaling;13_unfolded protein response/mTORC1 signaling;6_translation;8_translation	24_mitochondrial protein translocation and oxidative phopshorylation;9_;4_cholesterol homeostasis	mitochondrial protein translocation, tRNA synthesis, EIF2		
63	MRPS21,MRPS23,MRPS28,MRPS35	CD99,CMC4,DAP3,EIF4E2,ERAL1,ETS1,FASTKD5,GLRX5,GMIP,IBA57,IDH3B,INF2,ISCA2,KLHL17,LONP1,METTL17,MIER1,MRPL46,MRPS10,MRPS11,MRPS12,MRPS14,MRPS15,MRPS16,MRPS17,MRPS18B,MRPS18C,MRPS21,MRPS22,MRPS23,MRPS24,MRPS25,MRPS26,MRPS28,MRPS2,MRPS31,MRPS33,MRPS35,MRPS5,MRPS6,MRPS7,MRPS9,MTCP1,MTRF1L,ATP11B,SAMD4B,SLC30A9,TFB1M,TRA2B,TRMT10C,TSEN2	-4.288175	4.4113827	28S ribosomal subunit, mitochondrial				28S ribosomal subunit, mitochondrial;HSD17B10-TRMT10C complex	organellar small ribosomal subunit;organellar small ribosomal subunit;organellar small ribosomal subunit;organellar small ribosomal subunit;mixed, incl. Ribosomal protein S6, and Ribosomal protein S12, bacterial-type;organellar small ribosomal subunit;mixed, incl. Mitochondrial ribosome subunit S24, and Domain of unknown function DUF1713	13_unfolded protein response/mTORC1 signaling		28S ribosomal subunit, mitochondrial		
